preparation_time,first_image,second_image
0.55,2,2
0.55,5,5
0.55,6,6
0.55,9,9
0.152857310111599,9,9
0.318102733469014,9,9
0.335254487215259,9,2
0.172199801245089,6,6
0.366576852838088,5,5
0.393108300577547,5,9
0.48138127799845,9,9
0.526723707276579,2,2
0.201259141601093,2,2
0.242172269764088,9,9
0.413663358828224,5,5
0.202989595526699,5,9
0.239631454778528,2,9
0.37994503503566,9,2
0.217809489426484,2,2
0.462892060529511,6,6
0.492790250444704,2,2
0.163469681801139,6,6
0.363057921977469,5,5
0.468780542977426,2,2
0.540055872462846,9,9
0.259703437277769,9,5
0.217640425346153,6,6
0.500680372072654,6,2
0.513672985504339,2,5
0.229013155786863,9,9
0.326611897081056,5,5
0.437692856676935,5,2
0.488138063505589,6,9
0.217310122146898,5,5
0.415987585161904,6,9
0.473134183718428,6,6
0.369885648320291,9,9
0.215886663511605,2,2
0.164211521932145,2,2
0.262613527139398,6,6
0.473148338581421,6,6
0.167906504338056,6,5
0.153286602015725,6,6
0.294646659084823,9,9
0.175448914279421,6,2
0.209794521329692,6,6
0.159276147239745,9,5
0.359887934707453,5,5
0.428678360875765,2,2
0.320821397205491,2,2
0.203828183457875,2,9
0.282542884384962,2,6
0.386138341722534,5,5
0.526264557358555,5,5
0.547023087669056,9,6
0.24664116666154,5,5
0.154231962775338,5,6
0.482256130397522,9,9
0.520645175108023,5,5
0.333441391907188,6,6
0.458576937825473,2,6
0.496479613633756,5,5
0.393845919333824,6,6
0.499050873257675,6,6
0.159561210456932,5,5
0.258638088103826,9,9
0.260887833077718,6,6
0.198252971322463,2,2
0.514285381715295,9,2
0.162175706666249,2,2
0.419024411808845,2,2
0.178535874902883,6,6
0.294312197514088,5,6
0.317239817071026,2,2
0.222561715622947,6,9
0.358405641312871,6,6
0.363996704371166,5,5
0.276817552774478,9,9
0.444835223820916,5,5
0.214080964247668,2,6
0.227003287583942,5,5
0.291804407218242,9,9
0.301350453372568,6,5
0.232514342600262,5,5
0.517483682056907,2,9
0.481237427818779,9,9
0.192750697702657,9,6
0.297794366264154,2,2
0.24306843825279,9,6
0.330431441180217,5,6
0.260526874484317,5,5
0.350722756447369,2,5
0.519041261231183,2,5
0.303004455571934,5,2
0.410051331451453,9,9
0.38824844520815,5,2
0.450781424456883,9,5
0.174666132067947,9,9
0.447929469472724,6,6
0.528510370868971,2,2
0.391423820678195,6,5
0.26503197684796,5,9
0.418947687371715,9,9
0.434819514712558,2,2
0.412580114615441,9,9
0.208772126277417,6,6
0.53939022730788,6,2
0.532153380728352,9,9
0.319850213118257,5,5
0.387454931763549,2,2
0.165851429546758,6,6
0.545453733824775,2,2
