preparation_time,first_image,second_image
0.810890173309034,2,2
0.810890173309034,4,4
0.810890173309034,7,7
0.810890173309034,9,9
0.215719727455955,2,2
0.161408403583963,2,2
0.405493267408578,7,7
0.298868361808505,2,2
0.193116067063014,7,7
0.159892025052183,2,2
0.179180660405406,4,4
0.114217070110148,4,4
0.30211844538615,4,4
0.23726955829112,9,9
0.359627084510956,2,4
0.300685429117354,7,4
0.249342699303135,4,4
0.379917326641012,9,9
0.344146599150956,9,2
0.36563145776936,9,4
0.279988904426827,4,9
0.338171624841634,2,2
0.232112149722941,7,9
0.283483453180656,2,2
0.20641872026243,9,9
0.446566866771058,9,7
0.328401981675521,2,7
0.23204036280771,4,4
0.231433439905368,9,7
0.1497411000603,2,4
0.225269849089774,4,4
0.353258844852212,7,4
0.632803666418405,2,9
0.270193186254869,7,2
0.206771505102917,7,9
0.265587949354488,4,4
0.565336251608498,7,7
0.409387613765119,9,9
0.413886555731105,7,7
0.217525333010561,4,4
0.290255730912227,4,4
0.408798888510224,2,2
0.269692278556261,2,7
0.170862037363931,2,2
0.362073358730251,4,2
0.134467814242617,9,9
0.513165331658504,7,7
0.405891093606022,9,9
0.300412092192137,4,7
0.180559063915398,4,4
0.354493730362277,9,9
0.164650805349099,2,7
0.489428130833973,7,7
0.212484558720149,7,7
0.215921913349274,9,9
0.121466032810479,2,9
0.407711605896178,7,4
0.312400576606921,4,4
0.157745396521548,2,2
0.342589491117039,7,7
0.337628085054105,7,7
0.235738443316375,7,7
0.272647255869016,4,4
0.185500884305357,4,7
0.459211254579462,9,9
0.237926217043539,2,2
0.586447171007154,7,2
0.213908167815771,9,9
0.16369888852861,4,2
0.676796657066857,9,9
0.18694586139745,7,7
0.314834225952934,7,7
0.321730521667183,2,2
0.163901663695371,2,9
0.810890173309034,2,2
0.390225781417299,7,2
0.24693395321005,9,9
0.375296668565105,4,4
0.436529164395382,7,7
0.224352837298832,9,4
0.464281672879494,4,4
0.335768881821976,4,9
0.46642237963188,9,9
0.26891446430987,7,7
0.2355937499818,4,4
0.326225036561179,4,4
0.197185819343921,9,7
0.365684651958463,2,2
0.187920140360708,9,9
0.353981029097863,2,2
0.198174163954691,7,7
0.385405586144973,7,7
0.378015326797196,7,7
0.362484451544219,4,2
0.268871373854559,9,2
0.193508016318011,4,4
0.589201166197805,4,7
0.255122374561499,9,9
0.303554460271162,4,4
0.230091341150633,2,4
0.101109788423542,9,9
0.262414068945841,7,7
0.103925188900926,2,2
0.35438936409145,2,2
0.412592584948839,9,9
0.230096935334315,9,2
0.126654420434015,7,9
0.246891231792459,9,9
0.308514321479948,9,4
0.321415771463071,4,9
0.214144716375579,2,2
0.302283571453509,2,2
