id,day,block,trial,first_image,second_image,first_press,correct,real_prep_time
001,1,8,1,2,2,2,1,1.89389573779886
001,1,8,2,4,4,4,1,1.87229547003381
001,1,8,3,7,7,7,1,1.89059397216033
001,1,8,4,9,9,9,1,1.84711755433591
001,1,8,5,2,9,9,1,0.415869163715115
001,1,8,6,2,2,2,1,1.84785616454383
001,1,8,7,4,4,4,1,1.82848312626834
001,1,8,8,7,7,7,1,1.87352202001853
001,1,8,9,9,9,9,1,1.82020305935225
001,1,8,10,2,2,2,1,1.8689915358193
001,1,8,11,2,2,2,1,1.95489699014229
001,1,8,12,4,4,4,1,1.88599548673778
001,1,8,13,2,2,NaN,0,NaN
001,1,8,14,2,2,2,1,1.91474228427478
001,1,8,15,9,9,9,1,1.82119738263532
001,1,8,16,7,7,7,1,1.85126001528897
001,1,8,17,2,4,4,1,0.3338370590875
001,1,8,18,4,4,4,1,1.86967193379678
001,1,8,19,4,2,2,1,0.325941262338119
001,1,8,20,2,2,2,1,1.88403519431358
001,1,8,21,7,7,7,1,1.85417988112636
001,1,8,22,7,4,7,0,0.189169542381251
001,1,8,23,2,2,NaN,0,NaN
001,1,8,24,9,9,2,0,-0.0207115758782948
001,1,8,25,4,4,4,1,1.892034334747
001,1,8,26,7,2,2,1,0.517292765841603
001,1,8,27,2,2,2,1,1.90836668205384
001,1,8,28,9,4,7,0,0.303544358431054
001,1,8,29,4,4,4,1,1.8422552768418
001,1,8,30,2,2,2,1,1.8598008323072
001,1,8,31,9,4,7,0,0.299195023812445
001,1,8,32,9,7,9,0,0.132203946263871
001,1,8,33,2,4,2,0,0.0769260801462224
001,1,8,34,9,9,9,1,1.87035940898181
001,1,8,35,9,9,9,1,1.82879351151905
001,1,8,36,7,7,7,1,1.83243561790505
001,1,8,37,2,2,2,1,1.84000634862946
001,1,8,38,9,9,9,1,1.79694854164541
001,1,8,39,9,9,9,1,1.90088757158014
001,1,8,40,2,2,2,1,1.85090772394801
001,1,8,41,7,7,7,1,1.90030083693682
001,1,8,42,9,9,9,1,1.88349547192297
001,1,8,43,2,7,4,0,0.370740670142141
001,1,8,44,9,9,9,1,1.85082953151004
001,1,8,45,7,7,7,1,1.81310344306758
001,1,8,46,9,9,9,1,1.87779678688321
001,1,8,47,2,2,2,1,1.9027667622513
001,1,8,48,7,7,7,1,1.85920982112907
001,1,8,49,4,4,4,1,1.88093310661407
001,1,8,50,2,2,2,1,1.89346926524627
001,1,8,51,9,9,9,1,1.88727295155968
001,1,8,52,9,7,9,0,0.186270150577457
001,1,8,53,4,4,4,1,1.86851809903897
001,1,8,54,2,4,4,1,0.39424657926611
001,1,8,55,4,9,9,1,0.496424787309252
001,1,8,56,7,7,7,1,1.90354255331135
001,1,8,57,7,9,7,0,0.122725031654227
001,1,8,58,2,2,2,1,1.89035153739246
001,1,8,59,4,7,7,1,0.385131910850532
001,1,8,60,4,4,4,1,1.85599758056082
001,1,8,61,9,9,9,1,1.88132217251223
001,1,8,62,7,7,7,1,1.87761169095256
001,1,8,63,9,9,9,1,1.84818583864535
001,1,8,64,7,7,7,1,1.88712796419168
001,1,8,65,9,2,2,1,0.365837529210012
001,1,8,66,9,9,9,1,1.78389336317377
001,1,8,67,4,7,7,1,0.387281081914125
001,1,8,68,2,2,2,1,1.91697732183525
001,1,8,69,7,7,7,1,1.86280207082336
001,1,8,70,4,4,4,1,1.88839095854905
001,1,8,71,2,7,2,0,0.12477625723227
001,1,8,72,7,7,7,1,1.86303454443828
001,1,8,73,7,2,2,1,0.393171973981453
001,1,8,74,9,9,9,1,1.808300904406
001,1,8,75,2,7,7,1,0.362263699232244
001,1,8,76,9,9,9,1,1.86398696724837
001,1,8,77,9,7,7,1,0.337567007275311
001,1,8,78,4,4,4,1,1.83155727328244
001,1,8,79,4,9,7,0,0.409698133929624
001,1,8,80,4,4,4,1,1.95028624931115
001,1,8,81,7,2,NaN,0,NaN
001,1,8,82,9,9,2,0,-0.0405146182424687
001,1,8,83,7,9,7,0,0.172402365624976
001,1,8,84,2,2,2,1,1.8397376380492
001,1,8,85,2,2,2,1,1.86417171750077
001,1,8,86,7,4,NaN,0,NaN
001,1,8,87,4,4,4,1,-0.0308293040407079
001,1,8,88,4,7,7,1,0.4248523064648
001,1,8,89,4,4,4,1,1.85210649262922
001,1,8,90,7,7,7,1,1.88506469351455
001,1,8,91,7,7,7,1,1.83286504915554
001,1,8,92,9,4,4,1,0.354023271065216
001,1,8,93,7,4,7,0,0.117920122626856
001,1,8,94,2,9,2,0,0.175376779502813
001,1,8,95,2,9,2,0,0.0656922356697578
001,1,8,96,4,2,4,0,0.179456287493849
001,1,8,97,9,2,7,0,0.282516735769377
001,1,8,98,9,2,2,1,0.261303039401582
001,1,8,99,7,7,7,1,1.8875169059545
001,1,8,100,2,2,2,1,1.88725714912198
001,1,8,101,9,9,9,1,1.85449276939721
001,1,8,102,7,7,7,1,1.82716201282847
001,1,8,103,4,9,4,0,0.114383862945488
001,1,8,104,4,4,4,1,0.906539307885851
001,1,8,105,7,7,7,1,1.88729169720182
001,1,8,106,4,4,4,1,1.91388144646908
001,1,8,107,4,4,4,1,1.90046423840431
001,1,8,108,4,4,4,1,1.89756787443389
001,1,8,109,4,2,2,1,0.386367661496251
001,1,8,110,4,4,4,1,1.88245863020529
001,1,8,111,7,7,7,1,1.88184266105168
001,1,8,112,7,9,9,1,0.221253913572809
